PWSID,PWS_Name,Counties Served,Primacy_agency,Suspect LPA?,TYPE_consolidated_2018_original,Draft_inst_update_source,Draft_inst_update,Final_inst_update,Inst_Subtype,Notes,Notes last updated,Weird case?,,,,,,,,,,,,,,
CA3610112,HELENDALE COMMUNITY SERVICE DISTRICT,San Bernardino,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3610120,PHELAN PINON HILLS CSD,San Bernardino,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3700909,JULIAN COMMUNITY SERVICES DISTRICT,San Diego,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3710009,DESCANSO COMMUNITY SERVICES DISTRICT,San Diego,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3710011,JACUMBA COMMUNITY SD,San Diego,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3710041,MAJESTIC PINES COMMUNITY SD,San Diego,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3910008,LOCKEFORD COMMUNITY SERV. DIST.,San Joaquin,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA3910027,MOUNTAIN HOUSE COMMUNITY SERVICES DIST.,San Joaquin,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4000222,AVILA BEACH COMMUNITY SERVICES DISTRICT,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4000568,SAN SIMEON CSD,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010005,OCEANO COMM SERVICES DIST.,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010010,SAN MIGUEL COMMUNITY SERVICES DISTRICT,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010012,HERITAGE RANCH CSD,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010014,CAMBRIA COMM SERVICES DIST,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010019,TEMPLETON CSD,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4010026,NIPOMO COMM SERVICES DIST,San Luis Obispo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4210002,LOS ALAMOS COMMUNITY SERVICES DISTRICT,Santa Barbara,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4210009,CUYAMA COMMUNITY SERVICES DISTRICT,Santa Barbara,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,Santa Barbara,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4210019,MISSION HILLS CSD,Santa Barbara,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4510002,MOUNTAIN GATE C.S.D.,Shasta,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4510008,FALL RIVER VALLEY CSD,Shasta,SWRCB,NO,CSD,Consolidations,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4510011,CENTERVILLE C.S.D.,Shasta,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4510013,SHASTA C.S.D.,Shasta,SWRCB,NO,CSD,Consolidations,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4510016,CLEAR CREEK CSD-ANDERSON,Shasta,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4700513,HORNBROOK C.S.D.,Siskiyou,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4700531,TENNANT C.S.D.,Siskiyou,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4710006,MCCLOUD C.S.D.,Siskiyou,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4710012,HAPPY CAMP C.S.D.,Siskiyou,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4710013,LAKE SHASTINA C.S.D,Siskiyou,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4810013,RURAL NORTH VACAVILLE WATER DISTRICT,Solano,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA4900536,OCCIDENTAL COMMUNITY SERVICES DISTRICT,Sonoma,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5010009,KEYES COMMUNITY SERVICES DIST.,Stanislaus,SWRCB,NO,CSD,Consolidations,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5010021,DENAIR COMMUNITY SERVICES DISTRICT,Stanislaus,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5110007,SUTTER COMMUNITY S.D.,Sutter,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5210002,GERBER LAS FLORES CSD,Tehama,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5210003,LOS MOLINOS COMM. SERVICES DIST.,Tehama,SWRCB,NO,CSD,Consolidations,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5301002,LEWISTON COMMUNITY SERVICES DISTRICT,Trinity,SWRCB,,CSD,Consolidations,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5310001,WEAVERVILLE C.S.D.,Trinity,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400542,DUCOR CSD,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400544,ALLENSWORTH CSD,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400550,SEVILLE WATER COMPANY,Tulare,SWRCB,,CSA,Consolidations,CSD,Community Services District,,Merged with yettem,1/31/2023,,,,,,,,,,,,,,,
CA5400641,TEVISTON COMMUNITY SERVICES DISTRICT,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400824,SULTANA COMMUNITY SERVICES DISTRICT,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400903,TRACT 92 COMMUNITY SERVICES DISTRICT,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400934,PONDEROSA CSD,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5400968,IMPROVEMENT DISTRICT NO. 1,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5401003,EAST OROSI COMMUNITY SERVICES DISTRICT,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5402038,PATTERSON TRACT CSD,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5403043,YETTEM WATER SYSTEM,Tulare,SWRCB,,CSA,Original,CSA,Community Services District,,"Merged with Seville into new special distrit, systems aren't ye tmerged I believe",1/31/2023,,,,,,,,,,,,,,,
CA5403212,MONSON WATER SYSTEM,Tulare,SWRCB,,CSD,Consolidations,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5410014,TIPTON COMMUNITY SERVICES DIST,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5410017,LONDON COMMUNITY SERV DIST,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5410024,RICHGROVE COMMUNITY SERVICES DISTRICT,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5410026,POPLAR COMM SERVICE DIST,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,Tulare,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5510005,TWAIN HARTE COMMUNITY SERVICES DISTRICT,Tuolumne,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5510008,LAKE DON PEDRO CSD,Tuolumne,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5510009,GROVELAND COMMUNITY SERV DIST,Tuolumne,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5610039,CHANNEL ISLANDS BEACH CSD,Ventura,SWRCB,,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5710004,KNIGHTS LANDING SVC. DIST.,Yolo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA5710007,ESPARTO C.S.D.,Yolo,SWRCB,NO,CSD,Original,CSD,Community Services District,,,,,,,,,,,,,,,,,,
CA0400012,FARM LABOR HOUSING,Butte,LPA34,,County Dept. (other),Original,County Dept. (other),County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA1000570,JUVENILE JUSTICE CAMPUS,Fresno,SWRCB,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA2800035,RIVER RANCH FARM WORKER CENTER,Napa,SWRCB,Napa-LPA,County Dept. (other),Original,County Dept. (other),County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA2800039,CALISTOGA FARM WORKER CENTER,Napa,SWRCB,Napa-LPA,County Dept. (other),Original,County Dept. (other),County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA2800040,MONDAVI FARM WORKER CENTER,Napa,SWRCB,Napa-LPA,County Dept. (other),Original,County Dept. (other),County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],Sacramento,LPA64,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA3600215,GILBERT STREET COMPLEX,San Bernardino,LPA66,,County Dept. (other),Original,County Dept. (other),County,healthcare/eldercare/disability,"Gilbert Street Complex Water System is owned by the County of San Bernardino and is operated by the Special Districts Department (Department), Water and Sanitation Division providing water services to numerous buildings including a juvenile detention center.",,,,,,,,,,,,,,,,
CA3601182,HIGH DESERT DETENTION CENTER,San Bernardino,LPA66,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA4010080,NACIMIENTO WATER PROJECT,San Luis Obispo,SWRCB,,,New system ,County dept - other,County,Other,"Is a pipeline, I think regulated as a wholesaler",,,,,,,,,,,,,,,,
CA4400571,DAVENPORT COUNTY SANITATION,Santa Cruz,SWRCB,,County Dept. (other),Original,County Dept. (other),County,Other,Idled cement plant county is working on reuse plan for,,,,,,,,,,,,,,,,
CA1410008,INYO COUNTY PWD - INDEPENDENCE,Inyo,SWRCB,,CSA,Original,CSA,County,Other,Owned by county and operated by public works department per the Inyo LA long term water agreement: https://www.inyowater.org/documents/governing-documents/water-agreement/,1/31/2023,Yes,,,,,,,,,,,,,,
CA1410009,INYO COUNTY PWD - LONE PINE,Inyo,SWRCB,,CSA,Original,CSA,County,Other,Owned by county and operated by public works department per the Inyo LA long term water agreement: https://www.inyowater.org/documents/governing-documents/water-agreement/,1/31/2023,Yes,,,,,,,,,,,,,,
CA1502315,CAMP OWEN WATER SYSTEM,Kern,SWRCB,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA1502320,LERDO SHERIFF S FACILITY,Kern,SWRCB,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA4400762,SHERIFF'S REHAB,Santa Cruz,LPA74,,County Sheriff,Original,County Sheriff,County,Carceral,"Address matches with Rountree Detention Center, co-located with Rountree Rehabilitation and inmate Re-Entry Facility",,,,,,,,,,,,,,,,
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,Los Angeles,SWRCB,NO,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA4400763,BUENA VISTA MIGRANT CENTER,Santa Cruz,LPA74,,State,Original,State,County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA5700615,YOLO CO HOUSING AUTHORITY-EL RIO VILLA,Yolo,LPA87 ,,County Dept. (other),Original,County Dept. (other),County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA5700797,MONROE/LEINBERGER CNTR - WATERS,Yolo,LPA87 ,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA2400172,JOHN LATORACCA CORRECTIONAL FACILITY,Merced,SWRCB,,County Sheriff,Original,County Sheriff,County,Carceral,,,,,,,,,,,,,,,,,
CA2410700,CASTLE AIRPORT,Merced,SWRCB,,County Dept. (other),Original,County Dept. (other),County,Other,,,,,,,,,,,,,,,,,
CA3700968,SAN PASQUAL ACADEMY,San Diego,SWRCB,,County Dept. (other),Original,County Dept. (other),County,Education,,,,,,,,,,,,,,,,,
CA5010007,HILLSVIEW HOMES,Stanislaus,SWRCB,NO,County Dept. (other),Original,County Dept. (other),County,Housing authority/dept.,,,,,,,,,,,,,,,,,
CA5400631,LINNELL FARM LABOR CENTER,Tulare,SWRCB,,Private,Kristin,Ancillary,County,Housing authority/dept.,"LABEL SUBLABEL FOR COUNTY HOUSING Appears part of county Housing Authority's low-income housing program, https://www.hatc.net/farm-labor.php?nbl=RP they list several Farm Labor housing properties (La Puente; Linnell Farm Labor Ctr; Poplar Grove Apts; Sonora Apartments; Terra Bella Farm Labor Ctr; Woodville Farm Labor Ctr)",,,,,,,,,,,,,,,,
CA5400792,WOODVILLE FARM LABOR CENTER,Tulare,SWRCB,,Private,Kristin,Ancillary,County,Housing authority/dept.,"Appears part of county Housing Authority's low-income housing program, https://www.hatc.net/farm-labor.php?nbl=RP they list several Farm Labor housing properties (La Puente; Linnell Farm Labor Ctr; Poplar Grove Apts; Sonora Apartments; Terra Bella Farm Labor Ctr; Woodville Farm Labor Ctr) County inheritied the Linnell and Woodville centers from the federal government in the mid-1950's, we have continued to expand and improve the facilities with comprehensive street, water and sewer systems, as well as community centers and major recreational areas",,,,,,,,,,,,,,,,
CA5610043,TRIUNFO WATER & SANITATION DISTRICT,Ventura,SWRCB,,Private,2021 update,County Sanitation District,County Sanitation District,,,,,,,,,,,,,,,,,,
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,Alameda,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA0600005,COLUSA CO. SERVICE AREA #2-STONYFORD,Colusa,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA0600012,COLUSA CO. SERVICE AREA #1-CENTURY RANCH,Colusa,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000019,FCSA #30/EL PORVENIR,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000021,FCSA #05/WILDWOOD ISLAND,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000023,FCSA #14/BELMONT MANOR,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000039,FCSA #10/CUMORAH KNOLLS,Fresno,SWRCB,,CSA,Consolidations,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000359,FCSA #32/CANTUA CREEK,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000471,FCSA #39 A&B,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000484,FCSA #34/ MILLERTON NEW TOWN,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000546,FCSA #49/ FIVE POINTS,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000550,FCSA #44D/MONTE VERDI,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000551,FCSA #43/RAISIN CITY,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000554,FCSA #10A/MANSIONETTE ESTATES,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1000555,FCSA #44C/RIVERVIEW ESTATES,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1010055,FCSA #47/QUAIL LAKE ESTATES,Fresno,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1700554,LAKE COUNTY CSA 13 - KONO TAYEE,Lake,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1710018,LAKE COUNTY CSA 2 - SPRING VALLEY,Lake,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1710021,LAKE COUNTY CSA 21 - NORTH LAKEPORT,Lake,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA1710022,LAKE COUNTY CSA 20 - SODA BAY,Lake,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA0707613,WILLOW MOBILE HOME PARK,Contra Costa,LPA37,,CSA,Original,CSA,County Service Area,,2021-2022 report confirms is a CSA: https://www.contracosta.ca.gov/DocumentCenter/View/71702/CSA_M-28_21-22final?bidId=,1/31/2023,,,,,,,,,,,,,,,
CA1300018,GATEWAY,Imperial,SWRCB,Imperial-LPA,CSA,Consolidations,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA2000724,SA 14 CHUK CHANSE SUBDIVISION,Madera,SWRCB,Madera-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA2000729,MADERA CO SA16 SUMNER HILL-WATER SYSTEM,Madera,SWRCB,Madera-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3110048,PLACER CSA - SHERIDAN,Placer,SWRCB,Placer-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3600108,GLEN HELEN WATER SYSTEM,San Bernardino,SWRCB,San Bernardino-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3600114,CSA 70 W-3 HACIENDA,San Bernardino,SWRCB,San Bernardino-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3600196,CSA 70 W-4 PIONEERTOWN,San Bernardino,SWRCB,San Bernardino-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3600220,CSA 42 ORO GRANDE,San Bernardino,SWRCB,San Bernardino-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3600226,CSA 70-F MORONGO,San Bernardino,SWRCB,San Bernardino-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3900504,CLEMENTS WATER WORKS #43,San Joaquin,SWRCB,San Joaquin-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3901075,FAIRWAY ESTATES PWS CSA-18,San Joaquin,SWRCB,San Joaquin-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3901172,PAR COUNTRY ESTATES CSA-16,San Joaquin,SWRCB,San Joaquin-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3901216,SANTOS RANCH PWS #5-CSA #35,San Joaquin,SWRCB,San Joaquin-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4010025,SLO CWD NO. 10 - CAYUCOS WTP,San Luis Obispo,SWRCB,San Luis Obispo-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4500006,"SHASTA CSA - SUGARLOAF, #2",Shasta,SWRCB,Shasta-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4500015,"SHASTA CSA - CASTELLA, #3",Shasta,SWRCB,Shasta-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4500028,"SHASTA CSA - CRAGVIEW, #23",Shasta,SWRCB,Shasta-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4500313,SHASTA CO CSA # 8 PALO CEDRO,Shasta,SWRCB,Shasta-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4500314,SHASTA CO CSA # 13 ALPINE MEADOWS,Shasta,SWRCB,Shasta-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4500317,"SHASTA CSA - FRENCH GULCH, #11",Shasta,SWRCB,Shasta-LPA,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA5700788,NORTH DAVIS MEADOWS,Yolo,SWRCB,Yolo-LPA,CSA,Original,CSA,County Service Area,,Consolidation in progress estimated to be completed 2023,1/31/2023,,,,,,,,,,,,,,,
CA2010006,MADERA CO SA3-PARKSDALE,Madera,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA2010011,MADERA CO SA1-INDIAN LAKES,Madera,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA2210901,MPWD-COULTERVILLE CSA 1,Mariposa,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3301381,CSA 51,Riverside,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3301577,CSA 62,Riverside,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3310028,RIVERSIDE CSA #122-MESA VERDE,Riverside,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3500006,CSA NO. 31 STONEGATE WS,San Benito,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3500910,DUNNEVILLE ESTATES CSA #50,San Benito,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,San Bernardino,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3610121,SBDNO COUNTY SERVICE AREA 64,San Bernardino,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3610125,SBDNO COUNTY SERVICE AREA 70J,San Bernardino,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA3910009,SAN JOAQUIN COUNTY - THORNTON,San Joaquin,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4010024,SLO CWWD NO. 23 - SANTA MARGARITA,San Luis Obispo,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4010028,SLO CSA NO. 16 - SHANDON,San Luis Obispo,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4010901,SLOCSA #10A - CAYUCOS,San Luis Obispo,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4100509,COUNTY SERVICE AREA 7,San Mateo,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4100582,COUNTY SERVICE AREA 11,San Mateo,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4510004,"SHASTA CSA - JONES VALLEY, #6",Shasta,SWRCB,NO,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4600009,"SIERRA CSA #5, SIERRA BROOKS",Sierra,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4700521,SISKIYOU CO.SERVICE AREA #5/CARRICK,Siskiyou,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4900532,SONOMA COUNTY CSA 41-JENNER,Sonoma,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4900543,SONOMA COUNTY CSA 41-SALMON CREEK,Sonoma,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4900549,SONOMA COUNTY CSA 41-FREESTONE,Sonoma,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA4910010,SONOMA COUNTY CSA 41-FITCH MOUNTAIN,Sonoma,SWRCB,,CSA,Consolidations,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA5403023,DELFT COLONY WATER,Tulare,SWRCB,,CSA,Original,CSA,County Service Area,,,,,,,,,,,,,,,,,,
CA0110001,ALAMEDA COUNTY WATER DISTRICT,Alameda,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0300010,DRYTOWN COUNTY WATER DISTRICT,Amador,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0310019,AWA LA MEL HEIGHTS #3,Amador,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0510004,CCWD - SHEEP RANCH,Calaveras,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0510005,CCWD - WEST POINT,Calaveras,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0510006,CCWD - JENNY LIND,Calaveras,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0510016,CCWD - EBBETTS PASS,Calaveras,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0510017,CCWD - COPPER COVE,Calaveras,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0510019,CCWD - WALLACE,Calaveras,SWRCB,,County Water District,2021 update,Update,County Water District,,,,,,,,,,,,,,,,,,
CA0710003,CONTRA COSTA WATER DISTRICT,Contra Costa,SWRCB,NO,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA0710007,DIABLO WATER DISTRICT,Contra Costa,SWRCB,NO,County Water District,Consolidations,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA1010026,PINEDALE COUNTY WATER DISTRICT,Fresno,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA1010042,MALAGA COUNTY WATER DISTRICT,Fresno,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA1200501,ALDERPOINT COUNTY WATER,Humboldt,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
CA1210019,HYDESVILLE CO. W.D.,Humboldt,SWRCB,,County Water District,Original,County Water District,County Water District,,,,,,,,,,,,,,,,,,
